Halley,github.com/amzeratul/halley
RapidJSON,github.com/Tencent/rapidjson
tinyxml2,github.com/leethomason/tinyxml2
cpp-httplib,github.com/yhirose/cpp-httplib
spdlog,github.com/gabime/spdlog
abseil-cpp,github.com/abseil/abseil-cpp
cryptopp,github.com/weidai11/cryptopp
bgfx,github.com/bkaradzic/bgfx
nlohmann-json,github.com/nlohmann/json
fmt,github.com/fmtlib/fmt
Catch2,github.com/catchorg/Catch2
leveldb,github.com/google/leveldb
simdjson,github.com/simdjson/simdjson
imgui,github.com/ocornut/imgui
pybind11,github.com/pybind/pybind11
googletest,github.com/google/googletest
benchmark,github.com/google/benchmark
flatbuffers,github.com/google/flatbuffers
protobuf,github.com/protocolbuffers/protobuf
yaml-cpp,github.com/jbeder/yaml-cpp
cpr,github.com/libcpr/cpr
asio,github.com/chriskohlhoff/asio
poco,github.com/pocoproject/poco
folly,github.com/facebook/folly
rocksdb,github.com/facebook/rocksdb
capnproto,github.com/capnproto/capnproto
msgpack-c,github.com/msgpack/msgpack-c
cereal,github.com/USCiLab/cereal
doctest,github.com/doctest/doctest
indicators,github.com/p-ranav/indicators
tabulate,github.com/p-ranav/tabulate
argparse,github.com/p-ranav/argparse
CLI11,github.com/CLIUtils/CLI11
cxxopts,github.com/jarro2783/cxxopts
rang,github.com/agauniyal/rang
date,github.com/HowardHinnant/date
expected,github.com/TartanLlama/expected
entt,github.com/skypjack/entt
sol2,github.com/ThePhD/sol2
toml11,github.com/ToruNiina/toml11
stb,github.com/nothings/stb
glm,github.com/g-truc/glm
glfw,github.com/glfw/glfw
SDL,github.com/libsdl-org/SDL
raylib,github.com/raysan5/raylib
box2d,github.com/erincatto/box2d
bullet3,github.com/bulletphysics/bullet3
libuv,github.com/libuv/libuv
libsodium,github.com/jedisct1/libsodium
openssl,github.com/openssl/openssl
